Geneid,EBY_1,EBY_2,EBY_3,EBY-U_1,EBY-GNSR_1,EBY-GNSR_2,EBY-GNHR_1,EBY-GNHR_2,EBY-GNHR_3,EBY-GNUR_1,EBY-GNUR_2,EBY-GNUR_3,JGI_annotation,KEGG_annotation,Metabolic_Summary
jgi|Sacce1|2315|YGL248W,64.78,63.44,65.22,573.32,119.59,127.67,697.13,659.32,730.05,292.21,296.16,314.85,"3',5'-cyclic-nucleotide phosphodiesterase","K01120 3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17] | (RefSeq) PDE1; 3',5'-cyclic-nucleotide phosphodiesterase PDE1","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 44
}
])"
jgi|Sacce1|2316|YGL247W,32.46,33.33,34.83,27.24,27.6,25.13,27.8,27.1,28.88,28.43,26.83,32.89,,no KO assigned | (RefSeq) BRR6; Brr6p,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C2316%7CYGL247W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|2317|YGL246C,99.78,93.72,99.06,38.78,70.7,72.48,26.51,30.47,30.64,46.01,54.6,46.29,,K14845 RAT1-interacting protein | (RefSeq) RAI1; decapping nuclease,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 38
}
])"
jgi|Sacce1|2318|YGL245W,312.98,324.0,324.17,173.15,399.48,400.19,155.5,154.75,151.23,168.15,163.43,181.62,Glutamate--tRNA ligase,"K01885 glutamyl-tRNA synthetase [EC:6.1.1.17] | (RefSeq) GUS1, GSN1; glutamate--tRNA ligase GUS1","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 30
}
])"
jgi|Sacce1|2319|YGL244W,99.17,103.15,106.71,90.56,98.18,102.09,74.44,72.24,72.59,74.55,73.04,77.75,,"K15178 RNA polymerase-associated protein RTF1 | (RefSeq) RTF1, CSL3; Rtf1p","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 26
}
])"
jgi|Sacce1|231|YBL011W,32.78,33.98,32.88,21.49,27.25,26.58,17.44,18.29,17.3,27.62,26.5,35.01,,"K13507 glycerol-3-phosphate O-acyltransferase / dihydroxyacetone phosphate acyltransferase [EC:2.3.1.15 2.3.1.42] | (RefSeq) SCT1, GAT2; bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1",Skipped (No search results found)
jgi|Sacce1|2320|YGL243W,29.56,30.04,30.46,29.03,36.37,35.92,27.61,25.41,24.87,27.07,31.58,27.06,,K15440 tRNA-specific adenosine deaminase 1 [EC:3.5.4.34] | (RefSeq) TAD1; tRNA-specific adenosine deaminase,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 19
}
])"
jgi|Sacce1|2321|YGL242C,83.77,88.85,83.07,36.24,63.68,69.51,23.2,25.0,27.53,51.47,50.51,75.6,,K06867 uncharacterized protein | (RefSeq) ANK1; Ank1p,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 15
}
])"
jgi|Sacce1|2322|YGL241W,28.44,28.16,29.83,7.02,22.48,22.49,5.76,6.06,6.36,9.72,9.41,9.6,,K20224 importin-9 | (RefSeq) KAP114; karyopherin KAP114,No specific metabolic synthesis information found.
jgi|Sacce1|2323|YGL240W,16.82,17.3,17.42,25.15,14.38,15.01,20.49,25.79,23.87,28.43,29.8,27.06,,"K03357 anaphase-promoting complex subunit 10 | (RefSeq) DOC1, APC10; anaphase promoting complex subunit DOC1","ANAPC10 is a core subunit of the anaphase-promoting complex (APC), a ubiquitin protein ligase essential for cell cycle progression by ubiquitinating proteins like securin and cyclin B."
jgi|Sacce1|2324|YGL239C,0.78,0.33,0.85,0.42,0.14,0.17,0.0,0.37,0.15,0.19,0.0,0.17,,,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C2324%7CYGL239C+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|2325|YGL238W,85.04,88.54,90.17,35.57,48.51,52.18,20.14,29.8,24.83,34.43,35.54,35.36,,"K18423 exportin-2 (importin alpha re-exporter) | (RefSeq) CSE1, KAP109; importin-alpha export receptor",No specific metabolic synthesis information found.
jgi|Sacce1|2326|YGL237C,30.97,28.19,30.1,93.84,48.64,43.01,101.78,86.1,94.11,71.04,67.0,80.75,,"K08064 nuclear transcription factor Y, alpha | (RefSeq) HAP2; transcription activator HAP2","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 43
}
])"
jgi|Sacce1|2327|YGL236C,18.51,19.49,19.01,4.99,12.92,10.75,5.2,4.64,3.73,15.12,14.76,17.5,,"K03495 tRNA uridine 5-carboxymethylaminomethyl modification enzyme | (RefSeq) MTO1, IPS1; tRNA modification protein MTO1","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 37
}
])"
jgi|Sacce1|2328|YGL235W,0.32,0.39,0.43,0.73,0.25,0.0,1.94,1.3,1.53,1.57,1.45,1.27,,no KO assigned | (RefSeq) uncharacterized protein,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 35
}
])"
jgi|Sacce1|2329|YGL234W,652.31,643.24,662.34,83.01,373.84,359.1,80.76,80.65,82.71,66.8,67.21,80.51,,K11788 phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1] | (RefSeq) ADE57; bifunctional aminoimidazole ribotide synthase/glycinamide ribotide synthase,"Skipped (Web scraping error: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')))"
jgi|Sacce1|232|YBL010C,30.83,29.27,30.76,17.72,26.91,31.68,15.83,17.99,19.15,28.4,26.93,21.55,,no KO assigned | (RefSeq) LAA2; Laa2p,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C232%7CYBL010C+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|2330|YGL233W,31.66,33.11,35.14,50.92,34.14,34.56,25.99,31.18,28.98,34.62,36.03,37.18,,K19985 exocyst complex component 6 | (RefSeq) SEC15; Rab GTPase-binding exocyst subunit SEC15,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 22
}
])"
jgi|Sacce1|2331|YGL232W,96.93,99.14,105.68,33.59,83.55,84.89,26.21,29.83,29.44,44.92,48.45,44.06,,K06963 tRNA acetyltransferase TAN1 | (RefSeq) TAN1; putative tRNA acetyltransferase,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 17
}
])"
jgi|Sacce1|2332|YGL231C,184.25,170.72,170.27,106.23,182.91,189.43,109.37,108.41,109.9,154.41,165.62,172.02,,K23565 ER membrane protein complex subunit 4 | (RefSeq) EMC4; chaperone EMC4,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 13
}
])"
jgi|Sacce1|2333|YGL230C,2.44,1.56,2.15,1.62,3.34,1.89,0.61,0.26,0.11,3.26,2.49,3.08,,no KO assigned | (RefSeq) uncharacterized protein,"The DNA Synthesis Program synthesizes genes, pathways, and even whole chromosomes to advance functional genomics and develop biofuels, biochemicals, and other bioenergy solutions, with a focus on areas like lignocellulose decomposition, CO2 fixation, and plant metabolite biosynthesis."
jgi|Sacce1|2334|YGL229C,7.44,6.93,7.25,13.31,8.04,8.26,5.16,7.55,6.94,6.09,5.82,6.8,Ubiquitin--protein ligase,K15457 SIT4-associating protein SAP155 | (RefSeq) SAP4; Sap4p,No specific metabolic synthesis information found.
jgi|Sacce1|2335|YGL228W,86.36,90.35,92.17,161.08,92.33,97.61,148.42,139.97,150.95,123.02,119.06,120.63,,no KO assigned | (RefSeq) SHE10; She10p,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C2335%7CYGL228W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|2336|YGL227W,13.06,12.5,13.39,118.28,40.43,40.32,98.91,115.91,120.51,73.58,66.61,71.94,Adenosinetriphosphatase,"K23334 Ran-binding protein 9/10 | (RefSeq) VID30, GID1; glucose-induced degradation complex subunit VID30","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 32
}
])"
jgi|Sacce1|2337|YGL226C-A,240.36,230.49,222.88,111.71,220.14,201.19,63.28,110.4,99.99,152.97,174.7,156.54,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase,K12691 dolichyl-diphosphooligosaccharide---protein glycosyltransferase subunit 5 | (RefSeq) OST5; dolichyl-diphosphooligosaccharide--protein glycotransferase subunit,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 27
}
])"
jgi|Sacce1|2338|YGL226W,47.93,40.87,42.05,56.36,59.17,55.95,71.52,61.78,60.67,87.55,103.69,127.9,,no KO assigned | (RefSeq) MTC3; Mtc3p,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 24
}
])"
jgi|Sacce1|2339|YGL225W,343.44,345.34,329.57,58.22,170.75,173.71,37.08,44.18,41.7,66.85,78.58,63.03,,"K15356 GDP-mannose transporter | (RefSeq) VRG4, GOG5, LDB3, VAN2, VIG4; GDP-mannose transporter","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 21
}
])"
jgi|Sacce1|233|YBL009W,38.65,41.07,42.26,10.94,24.71,26.89,7.95,10.31,11.28,13.87,13.29,11.66,,K16315 serine/threonine-protein kinase haspin [EC:2.7.11.1] | (RefSeq) ALK2; protein kinase ALK2,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 18
}
])"
jgi|Sacce1|2340|YGL224C,47.14,47.88,50.0,57.9,86.17,92.66,74.61,68.78,75.16,49.51,49.0,49.15,Phosphoglycolate phosphatase,"K18551 pyrimidine and pyridine-specific 5'-nucleotidase [EC:3.1.3.-] | (RefSeq) SDT1, SSM1; nucleotidase","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 15
}
])"
jgi|Sacce1|2341|YGL223C,47.26,44.61,46.05,33.8,59.07,60.57,26.34,28.56,32.53,38.0,39.01,36.06,,"no KO assigned | (RefSeq) COG1, COD3, LDB11, SEC36; Golgi transport complex subunit COG1",Skipped (Gemini API Error: 500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting)
jgi|Sacce1|2342|YGL222C,23.05,20.09,19.27,106.22,40.84,40.22,127.08,120.85,103.7,121.08,117.77,131.59,,K18759 enhancer of mRNA-decapping protein 1/2 | (RefSeq) EDC1; Edc1p,Skipped (Gemini API Error: 500 An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting)
jgi|Sacce1|2343|YGL221C,127.75,133.16,123.82,122.27,129.8,126.65,144.66,131.79,131.94,141.98,144.87,148.82,,no KO assigned | (RefSeq) NIF3; uncharacterized protein,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 1
}
])"
jgi|Sacce1|2344|YGL220W,205.75,169.92,180.27,135.73,156.31,151.32,209.03,166.79,177.6,205.69,217.9,231.18,,"no KO assigned | (RefSeq) BOL2, AIM15, FRA2; Bol2p",Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C2344%7CYGL220W+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|2345|YGL219C,43.18,45.4,48.19,209.52,70.51,72.33,186.04,174.31,194.5,155.15,132.35,156.17,,"K17775 mitochondrial distribution and morphology protein 34 | (RefSeq) MDM34, MMM2; ERMES complex subunit MDM34","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 55
}
])"
jgi|Sacce1|2346|YGL218W,0.34,0.27,0.47,0.7,0.69,0.0,0.7,0.99,0.89,0.74,1.2,0.81,,,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 52
}
])"
jgi|Sacce1|2347|YGL217C,0.29,0.3,0.34,0.19,0.0,0.46,0.13,0.0,0.14,0.18,0.38,0.15,,,Skipped (Web scraping error: 403 Client Error: Forbidden for url: https://scholar.google.com/scholar?q=jgi%7CSacce1%7C2347%7CYGL217C+metabolic+synthesis+role&hl=en&as_sdt=0&as_vis=1&oi=scholart)
jgi|Sacce1|2348|YGL216W,17.09,18.28,20.39,13.28,13.99,13.39,14.24,13.73,15.37,14.44,14.74,13.99,,K10401 kinesin family member 18A | (RefSeq) KIP3; tubulin-dependent ATPase KIP3,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 45
}
])"
jgi|Sacce1|2349|YGL215W,139.19,180.53,143.86,314.24,218.6,220.15,180.75,251.12,206.4,202.95,214.57,206.54,,no KO assigned | (RefSeq) CLG1; Clg1p,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 43
}
])"
jgi|Sacce1|234|YBL008W-A,0.41,0.0,0.64,0.0,0.19,0.44,0.38,0.49,0.4,0.0,0.27,1.09,,no KO assigned | (RefSeq) uncharacterized protein,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 40
}
])"
jgi|Sacce1|2350|YGL214W,0.55,0.64,0.63,0.0,0.37,0.32,0.09,0.12,0.0,0.49,0.27,0.21,,,"Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 38
}
])"
jgi|Sacce1|2351|YGL213C,70.19,68.39,71.72,38.85,55.87,62.07,28.19,30.24,30.15,36.87,39.11,35.58,,"K12601 superkiller protein 8 | (RefSeq) SKI8, REC103; SKI complex subunit WD repeat protein SKI8","Skipped (Gemini API Error: 429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
  quota_metric: ""generativelanguage.googleapis.com/generate_content_free_tier_input_token_count""
  quota_id: ""GenerateContentInputTokensPerModelPerMinute-FreeTier""
  quota_dimensions {
    key: ""model""
    value: ""gemma-3-27b""
  }
  quota_dimensions {
    key: ""location""
    value: ""global""
  }
  quota_value: 15000
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 33
}
])"
